date,breakfast,lunch,dinner
2026-07-01,8,47,10
2026-07-02,8,47,10
2026-07-03,7,47,10
2026-07-04,6,45,10
2026-07-05,0,0,0
2026-07-06,8,47,10
2026-07-07,8,49,11
2026-07-08,7,47,11
2026-07-09,8,47,11
2026-07-10,9,47,12
2026-07-11,9,47,0
2026-07-12,0,0,0
2026-07-13,9,47,11
2026-07-14,9,47,11
2026-07-15,11,47,11
2026-07-16,10,47,11
2026-07-17,10,47,11
2026-07-18,11,47,8
2026-07-19,21,21,0
2026-07-20,6,47,12
2026-07-21,9,47,12
2026-07-22,9,47,12
2026-07-23,7,47,12
2026-07-24,8,47,12
2026-07-25,9,47,12
2026-07-26,6,0,0
2026-07-27,8,47,19
2026-07-28,10,47,12
